Date,Richness,TOC,DOC,wtr_table
1/16/2006,22,11.13,11.04,132.58
2/20/2006,15,11.1,11.01,132.16
3/21/2006,22,11.22,10.97,131.99
4/21/2006,23,12.03,10.67,131.32
5/17/2006,24,10.13,10.35,130.66
6/15/2006,19,9.14,9.4,129.97
7/17/2006,31,8.25,9.11,129.76
8/17/2006,37,7.55,7.51,129.56
9/15/2006,36,13.62,13.59,131.08
10/20/2006,17,12.57,12.92,132.65
11/15/2006,20,11.62,11.53,132.55
12/20/2006,22,10.67,10.58,132.15
1/22/2007,25,10.35,10.26,131.54
2/22/2007,25,10.52,10.53,131.02
3/19/2007,29,9.95,9.93,130.5
4/17/2007,25,10.03,10.06,129.88
5/15/2007,17,10.15,10.01,129.34
6/19/2007,23,9.85,9.8,128.84
7/16/2007,35,9.44,9.93,128.37
8/22/2007,37,8.03,7.61,128.5
9/17/2007,39,7.97,7.97,128.27
10/15/2007,37,8.23,8.01,128.06
11/16/2007,49,8.15,7.91,127.79
12/18/2007,42,7.38,7.31,127.49
1/15/2008,38,7.64,7.45,127.06
2/14/2008,37,7.46,7.34,126.73
3/9/2008,37,7.36,7.26,126.45
4/14/2008,34,7.21,7.21,126.13
5/14/2008,42,7.29,7.29,125.88
6/19/2008,26,8.04,7.91,125.63
7/17/2008,21,7.46,7.85,125.68
8/14/2008,26,7.03,7.54,126.42
9/13/2008,19,8.13,8.25,127.78
10/14/2008,27,7.33,7.33,129.23
11/16/2008,43,6.98,6.98,129.76
12/14/2008,44,7.23,7.23,129.46
1/18/2009,33,6.51,6.41,129.17
2/16/2009,38,6.66,6.57,128.76
3/15/2009,32,6.49,6.32,128.41
4/14/2009,32,6.62,6.59,127.96
5/14/2009,32,6.62,6.46,127.49
6/14/2009,13,6.29,6.18,127.03
7/14/2009,34,6.14,6.1,126.76
8/14/2009,23,6.56,6.01,127.16
9/14/2009,39,6.01,5.75,127.76
10/13/2009,34,6.09,5.76,128.24
11/12/2009,39,6.1,6.21,128.15
12/13/2009,28,8.6,7.02,127.9
1/15/2010,32,6.32,5.93,127.66
2/15/2010,25,7.12,5.75,127.42
3/15/2010,32,6.34,5.77,127.16
4/15/2010,33,6.42,6.01,127.3
5/17/2010,22,6.11,5.91,127.91
6/14/2010,25,6.03,5.89,127.82
7/14/2010,32,4.52,4.43,127.68
8/16/2010,27,4.85,4.76,128.39
9/15/2010,34,6.34,6.26,129.04
10/18/2010,33,5.99,5.91,130.05
11/12/2010,30,5.5,5.42,130.16
12/15/2010,41,5.35,5.27,129.93
1/18/2011,39,5.7,5.62,129.61
2/16/2011,20,5.98,5.9,129.25
3/15/2011,22,5.86,5.77,128.96
4/15/2011,38,5.92,5.84,128.56
5/17/2011,23,5.61,5.53,128.28
6/17/2011,31,5.78,5.7,128.01
7/14/2011,20,5.44,5.36,127.73
8/16/2011,35,5.56,5.26,127.72
9/16/2011,22,5.55,4.69,127.98
10/16/2011,28,5.15,4.04,128.06
11/16/2011,36,5.04,3.98,128.21
12/15/2011,42,5.23,4.24,128.26
1/13/2012,38,5.03,4.03,127.99
2/15/2012,17,5.11,3.95,127.78
3/15/2012,32,5.32,4.06,127.55
4/13/2012,32,5.44,3.99,127.17
5/15/2012,22,5.39,3.88,126.81
6/15/2012,26,5.37,4.04,126.45
7/13/2012,31,5.28,4.08,126.52
8/16/2012,30,5.63,4.22,127.06
9/12/2012,44,6.33,5,127.86
10/15/2012,37,8.51,8.42,129.65
11/13/2012,35,7.24,7.16,131.08
12/14/2012,48,6.65,6.56,131.28
1/15/2013,31,6.51,6.42,130.93
2/15/2013,14,6.44,6.35,130.62
3/15/2013,22,6.41,6.33,130.13
4/17/2013,34,6.51,6.42,129.62
5/13/2013,21,6.49,6.4,129.2
6/10/2013,30,6.58,6.52,128.94
7/12/2013,35,10.5,10.44,130.22
8/16/2013,27,16.14,16.1,132.98
9/12/2013,10,15.46,15.44,133.54
10/15/2013,7,15.35,15.25,133.66
11/15/2013,21,11.65,11.43,133.4
12/13/2013,19,10.35,10.18,132.99
1/17/2014,26,9.57,9.34,132.42
2/14/2014,20,8.99,8.49,132.06
3/13/2014,22,8.63,8.49,131.63
4/16/2014,34,8.26,8.08,131.17
5/16/2014,38,7.95,7.88,130.65
6/13/2014,24,7.64,7.64,130.2
7/10/2014,31,7.41,7.1,129.89
8/15/2014,33,9.63,9.3,130.76
9/15/2014,33,9.53,9.27,131.09
10/14/2014,29,11.08,10,131.5
11/14/2014,42,10.23,9.93,131.96
12/16/2014,24,8.81,8.8,131.95
1/15/2015,27,8.78,8.73,131.69
2/12/2015,32,10.14,8.72,131.48
3/12/2015,33,8.51,8.35,131.19
4/14/2015,38,10.39,8.24,131.04
5/15/2015,42,7.74,7.49,130.72
6/10/2015,32,7.73,7.6,130.6
7/14/2015,32,1.57,1.33,131.11
8/14/2015,47,9.6,9.57,131.84
9/15/2015,47,13.51,13.36,132.15
10/15/2015,26,14.49,14.44,132.9
11/16/2015,26,13.26,12.73,133.06
12/16/2015,29,10.71,10.36,132.75
1/18/2016,26,10.3,10.23,132.57
2/18/2016,20,10.86,10.8,132.65
3/15/2016,16,11.06,10.91,133.07
4/19/2016,24,10.39,10.37,132.95
5/16/2016,28,10.27,10.17,132.62
6/17/2016,34,11.43,10.91,132.52
7/15/2016,30,11.68,10.77,132.99
8/15/2016,41,11.2,10.35,133.11
9/15/2016,39,11.7,10.85,132.94
10/17/2016,40,14.46,13.29,133.57
11/14/2016,18,13.62,12.68,133.98
12/15/2016,36,11.89,11.64,133.73
1/16/2017,30,10.22,11.02,133.41
2/14/2017,22,10.28,11.13,132.78
3/15/2017,31,10.08,10.67,132.19
4/14/2017,29,9.71,10.63,131.62
5/15/2017,28,9.48,10.23,135.93
6/15/2017,31,9.06,9.56,130.45
7/14/2017,33,8.44,9.01,130.23
8/15/2017,41,8.63,8.55,129.68
9/19/2017,41,16.35,16.02,130.97
10/16/2017,35,13.95,14.28,133.21
11/15/2017,21,11.32,13.58,134.15
12/15/2017,32,10.59,12,134.32
1/12/2018,17,10.01,12.76,133.97
2/16/2018,22,9.7,10.86,133.53
3/15/2018,27,9.24,10.7,133.16
4/17/2018,31,8.74,10.65,132.6
5/17/2018,28,8.31,9.6,131.9
6/15/2018,29,10.68,12.37,132.17
7/16/2018,43,13.39,16.16,133.01
8/16/2018,19,13.22,15.68,133.91
9/13/2018,22,12.53,14.69,134.09
10/16/2018,34,11.32,13.45,133.88
